title,content,topic,sentiment
ธนาคารกลางคงอัตราดอกเบี้ยนโยบายไว้ที่ระดับเดิม,คณะกรรมการนโยบายการเงินมีมติคงอัตราดอกเบี้ยนโยบายไว้ที่ระดับเดิม โดยระบุว่าต้องการติดตามผลของมาตรการที่ดำเนินไปแล้วก่อนตัดสินใจปรับเปลี่ยน,economy,neutral
การส่งออกขยายตัวร้อยละ 4.5 สูงกว่าที่คาด,มูลค่าการส่งออกของไทยขยายตัวร้อยละ 4.5 สูงกว่าที่นักวิเคราะห์คาดการณ์ไว้ โดยกลุ่มสินค้าเกษตรและอิเล็กทรอนิกส์เป็นแรงหนุนหลัก ผู้ประกอบการแสดงความเชื่อมั่นเพิ่มขึ้น,economy,positive
เงินบาทอ่อนค่าลงแตะระดับต่ำสุดในรอบ 6 เดือน,ค่าเงินบาทอ่อนค่าลงแตะระดับต่ำสุดในรอบหกเดือนเทียบดอลลาร์ จากเงินทุนไหลออกและทิศทางดอกเบี้ยต่างประเทศ ผู้นำเข้าได้รับผลกระทบด้านต้นทุน,economy,negative
ราคาน้ำมันดีเซลปรับลดลง 50 สตางค์ต่อลิตร,ผู้ค้าน้ำมันประกาศปรับลดราคาน้ำมันดีเซลลง 50 สตางค์ต่อลิตร มีผลตั้งแต่เวลา 05.00 น. ของวันรุ่งขึ้น ผู้ประกอบการขนส่งระบุว่าช่วยลดต้นทุนได้บางส่วน,economy,positive
หนี้ครัวเรือนยังอยู่ในระดับสูงน่ากังวล,ธนาคารแห่งประเทศไทยรายงานว่าสัดส่วนหนี้ครัวเรือนต่อจีดีพียังอยู่ในระดับสูง ซึ่งเป็นข้อจำกัดสำคัญต่อการฟื้นตัวของการบริโภคภาคเอกชนในระยะต่อไป,economy,negative
จีดีพีไตรมาสล่าสุดขยายตัวร้อยละ 2.8,สภาพัฒน์รายงานว่าเศรษฐกิจไทยในไตรมาสล่าสุดขยายตัวร้อยละ 2.8 โดยได้แรงหนุนจากภาคการท่องเที่ยวและการบริโภคภาคเอกชน ขณะที่การลงทุนภาครัฐยังชะลอตัว,economy,neutral
ราคาสินค้าอุปโภคบริโภคปรับขึ้นหลายรายการ,ผู้ผลิตสินค้าอุปโภคบริโภคหลายรายปรับขึ้นราคาสินค้าตามต้นทุนวัตถุดิบและค่าขนส่ง กรมการค้าภายในระบุว่าจะติดตามการปรับราคาอย่างใกล้ชิดเพื่อไม่ให้กระทบผู้บริโภคเกินสมควร,economy,negative
นักท่องเที่ยวต่างชาติเข้าไทยเพิ่มขึ้นร้อยละ 15,จำนวนนักท่องเที่ยวต่างชาติที่เดินทางเข้าไทยเพิ่มขึ้นร้อยละ 15 เทียบกับช่วงเดียวกันของปีก่อน สร้างรายได้เข้าประเทศเพิ่มขึ้นอย่างมีนัยสำคัญ ผู้ประกอบการโรงแรมเตรียมขยายบริการ,economy,positive
กำลังซื้อในต่างจังหวัดยังฟื้นตัวช้า,ผู้ประกอบการค้าปลีกในต่างจังหวัดรายงานว่ากำลังซื้อยังฟื้นตัวช้ากว่าในเขตเมือง โดยเฉพาะในพื้นที่ที่พึ่งพารายได้ภาคเกษตร ซึ่งได้รับผลจากราคาผลผลิตที่ผันผวน,economy,negative
ธนาคารปรับขึ้นดอกเบี้ยเงินฝากประจำ,สถาบันการเงินหลายแห่งประกาศปรับขึ้นอัตราดอกเบี้ยเงินฝากประจำ เพื่อระดมเงินฝากและตอบรับทิศทางดอกเบี้ยนโยบาย ผู้ฝากเงินระยะยาวได้รับประโยชน์จากการปรับครั้งนี้,economy,positive
ดัชนีความเชื่อมั่นผู้บริโภคปรับลดลงเป็นเดือนที่ 3,ศูนย์วิจัยรายงานว่าดัชนีความเชื่อมั่นผู้บริโภคปรับลดลงต่อเนื่องเป็นเดือนที่สาม สาเหตุหลักมาจากความกังวลเรื่องค่าครองชีพและความไม่แน่นอนของรายได้,economy,negative
ค่าแรงขั้นต่ำปรับขึ้นในหลายจังหวัด,คณะกรรมการค่าจ้างมีมติปรับขึ้นค่าแรงขั้นต่ำในหลายจังหวัด โดยมีผลตั้งแต่ต้นปีหน้า แรงงานแสดงความยินดี ขณะที่ผู้ประกอบการขนาดเล็กขอให้มีมาตรการช่วยเหลือควบคู่,economy,neutral
การลงทุนภาคเอกชนขยายตัวหลังความเชื่อมั่นดีขึ้น,ตัวเลขการขออนุญาตลงทุนใหม่เพิ่มขึ้นอย่างชัดเจนหลังความเชื่อมั่นทางธุรกิจปรับดีขึ้น โดยเฉพาะในกลุ่มอุตสาหกรรมยานยนต์ไฟฟ้าและอิเล็กทรอนิกส์,economy,positive
ราคาผลผลิตเกษตรตกต่ำ เกษตรกรเดือดร้อน,ราคาผลผลิตเกษตรหลายชนิดปรับตัวลดลงจากผลผลิตที่ออกมาพร้อมกัน ทำให้เกษตรกรขาดทุนและเรียกร้องให้รัฐเข้าช่วยเหลือด้านการรับซื้อและการกระจายผลผลิต,economy,negative
เศรษฐกิจดิจิทัลโตต่อเนื่อง มูลค่าแตะระดับใหม่,รายงานเศรษฐกิจดิจิทัลระบุว่ามูลค่าธุรกรรมออนไลน์ในประเทศเติบโตต่อเนื่องและแตะระดับสูงสุดใหม่ โดยการชำระเงินผ่านมือถือเป็นปัจจัยขับเคลื่อนสำคัญ,economy,positive
ดุลบัญชีเดินสะพัดกลับมาเกินดุล,ธนาคารแห่งประเทศไทยรายงานว่าดุลบัญชีเดินสะพัดกลับมาเกินดุล จากรายได้ภาคการท่องเที่ยวและการส่งออกที่ปรับดีขึ้น ช่วยเสริมเสถียรภาพด้านต่างประเทศ,economy,positive
ต้นทุนพลังงานสูงกดดันภาคการผลิต,ผู้ประกอบการภาคการผลิตระบุว่าต้นทุนพลังงานที่อยู่ในระดับสูงกดดันอัตรากำไร และอาจต้องส่งผ่านไปยังราคาสินค้า หากสถานการณ์ยังไม่คลี่คลายในระยะสั้น,economy,negative
อัตราการว่างงานลดลงเหลือร้อยละ 1.0,สำนักงานสถิติแห่งชาติรายงานอัตราการว่างงานลดลงเหลือร้อยละ 1.0 ซึ่งเป็นระดับต่ำที่สุดในรอบหลายไตรมาส สะท้อนการจ้างงานที่ฟื้นตัวในภาคบริการ,economy,positive
ภาคอสังหาริมทรัพย์ชะลอตัว ยอดโอนลดลง,ยอดการโอนกรรมสิทธิ์ที่อยู่อาศัยลดลงจากช่วงเดียวกันของปีก่อน จากภาวะดอกเบี้ยและความเข้มงวดในการปล่อยสินเชื่อ ผู้ประกอบการปรับแผนเปิดโครงการใหม่ให้ช้าลง,economy,negative
รัฐเปิดมาตรการลดหย่อนภาษีกระตุ้นการใช้จ่าย,กระทรวงการคลังประกาศมาตรการลดหย่อนภาษีสำหรับการใช้จ่ายในประเทศ เพื่อกระตุ้นการบริโภคในช่วงปลายปี คาดว่าจะมีเงินหมุนเวียนเข้าระบบเศรษฐกิจหลายหมื่นล้านบาท,economy,positive
ราคาทองคำในประเทศปรับตัวสูงขึ้น,ราคาทองคำในประเทศปรับตัวสูงขึ้นตามตลาดโลก จากความต้องการสินทรัพย์ปลอดภัยที่เพิ่มขึ้น ร้านทองรายงานว่ามีผู้เข้ามาขายทำกำไรเพิ่มขึ้นในช่วงนี้,economy,neutral
เงินลงทุนต่างชาติไหลออกจากตลาดพันธบัตร,ตลาดพันธบัตรไทยเผชิญแรงขายจากนักลงทุนต่างชาติต่อเนื่อง ตามทิศทางอัตราผลตอบแทนในตลาดโลก ผู้ดูแลตลาดระบุว่าสภาพคล่องยังอยู่ในระดับที่บริหารจัดการได้,economy,negative
ผู้ประกอบการเอสเอ็มอีเข้าถึงสินเชื่อได้มากขึ้น,ธนาคารรัฐรายงานว่าผู้ประกอบการขนาดกลางและขนาดย่อมเข้าถึงสินเชื่อได้มากขึ้นหลังปรับเกณฑ์ค้ำประกัน ช่วยให้ธุรกิจมีสภาพคล่องสำหรับการดำเนินงาน,economy,positive
ค่าไฟฟ้างวดใหม่ปรับขึ้น ประชาชนกังวลภาระ,คณะกรรมการกำกับกิจการพลังงานประกาศค่าไฟฟ้างวดใหม่ปรับขึ้นเล็กน้อยตามต้นทุนเชื้อเพลิง ประชาชนแสดงความกังวลต่อภาระค่าใช้จ่ายในครัวเรือนที่เพิ่มขึ้น,economy,negative
การท่องเที่ยวในประเทศคึกคักช่วงวันหยุดยาว,ภาคการท่องเที่ยวรายงานว่ามีการเดินทางในประเทศคึกคักในช่วงวันหยุดยาว อัตราการเข้าพักโรงแรมในเมืองท่องเที่ยวหลักเพิ่มขึ้นเกือบเต็มความจุ,economy,positive
เศรษฐกิจภาคเกษตรได้ผลดีจากปริมาณน้ำเพียงพอ,กระทรวงเกษตรและสหกรณ์ประเมินว่าผลผลิตทางการเกษตรปีนี้จะออกมาดี เนื่องจากปริมาณน้ำในเขื่อนอยู่ในระดับเพียงพอ ส่งผลดีต่อรายได้เกษตรกรในภาพรวม,economy,positive
ตลาดหุ้นปรับตัวลงแรงตามตลาดต่างประเทศ,ดัชนีตลาดหลักทรัพย์ปรับตัวลงแรงตามทิศทางตลาดต่างประเทศ จากความกังวลเรื่องการเติบโตของเศรษฐกิจโลก นักลงทุนสถาบันเป็นฝ่ายขายสุทธิ,economy,negative
ยอดจดทะเบียนธุรกิจใหม่เพิ่มขึ้นต่อเนื่อง,กรมพัฒนาธุรกิจการค้ารายงานยอดจดทะเบียนจัดตั้งธุรกิจใหม่เพิ่มขึ้นต่อเนื่อง โดยกลุ่มบริการและเทคโนโลยีมีสัดส่วนสูงสุด สะท้อนความเชื่อมั่นของผู้ประกอบการรุ่นใหม่,economy,positive
ต้นทุนขนส่งทางเรือปรับสูงขึ้น กระทบผู้ส่งออก,อัตราค่าระวางเรือปรับสูงขึ้นจากปัญหาเส้นทางเดินเรือ ทำให้ผู้ส่งออกมีต้นทุนเพิ่มและต้องเจรจาราคากับคู่ค้าใหม่ สภาผู้ส่งสินค้าทางเรือขอให้ภาครัฐช่วยเจรจา,economy,negative
เปิดตัวระบบชำระเงินข้ามประเทศ ลดค่าธรรมเนียม,ธนาคารกลางร่วมมือกับประเทศเพื่อนบ้านเปิดใช้ระบบชำระเงินข้ามประเทศแบบใหม่ ซึ่งช่วยลดค่าธรรมเนียมและเวลาโอนสำหรับผู้ประกอบการและนักท่องเที่ยว,economy,positive
ดัชนีผลผลิตอุตสาหกรรมทรงตัว,สำนักงานเศรษฐกิจอุตสาหกรรมรายงานว่าดัชนีผลผลิตอุตสาหกรรมทรงตัวจากเดือนก่อน โดยกลุ่มยานยนต์ปรับลดลงขณะที่กลุ่มอาหารแปรรูปขยายตัว,economy,neutral
ภาระค่าเช่าที่พุ่งสูงกระทบร้านค้ารายย่อย,ผู้ประกอบการร้านค้ารายย่อยในเขตเมืองระบุว่าค่าเช่าพื้นที่ปรับสูงขึ้นมาก ทำให้หลายรายต้องย้ายทำเลหรือปิดกิจการ สมาคมการค้าเรียกร้องให้มีมาตรการดูแล,economy,negative
รัฐเดินหน้าโครงการลงทุนโครงสร้างพื้นฐาน,คณะรัฐมนตรีอนุมัติการลงทุนโครงสร้างพื้นฐานหลายโครงการเพื่อกระตุ้นเศรษฐกิจในระยะกลาง ครอบคลุมระบบราง ถนน และระบบน้ำ คาดว่าจะสร้างการจ้างงานจำนวนมาก,economy,positive
ราคาปุ๋ยและอาหารสัตว์ยังทรงตัวในระดับสูง,ราคาปุ๋ยและอาหารสัตว์ยังทรงตัวในระดับสูงตามราคาวัตถุดิบนำเข้า ส่งผลให้ต้นทุนการผลิตของเกษตรกรและผู้เลี้ยงสัตว์ยังอยู่ในระดับที่กดดันกำไร,economy,negative
ส่งออกอาหารไทยทำสถิติใหม่,มูลค่าการส่งออกอาหารของไทยทำสถิติสูงสุดใหม่ จากความต้องการในตลาดเอเชียและตะวันออกกลาง ผู้ประกอบการเตรียมขยายกำลังการผลิตเพื่อรองรับคำสั่งซื้อ,economy,positive
สภาพคล่องในระบบการเงินยังอยู่ในระดับเพียงพอ,ธนาคารกลางยืนยันว่าสภาพคล่องในระบบการเงินยังอยู่ในระดับเพียงพอ และพร้อมดูแลความผันผวนหากจำเป็น เพื่อรักษาเสถียรภาพของระบบการชำระเงิน,economy,neutral
ธุรกิจร้านอาหารฟื้นตัวชัดเจนหลังนักท่องเที่ยวกลับมา,ผู้ประกอบการร้านอาหารในย่านท่องเที่ยวรายงานยอดขายฟื้นตัวชัดเจน หลังจำนวนนักท่องเที่ยวต่างชาติเพิ่มขึ้น หลายร้านเริ่มรับพนักงานเพิ่มเพื่อรองรับลูกค้า,economy,positive
เตือนความเสี่ยงเศรษฐกิจโลกกระทบการส่งออกไทย,นักเศรษฐศาสตร์เตือนว่าการชะลอตัวของเศรษฐกิจโลกอาจกระทบคำสั่งซื้อส่งออกของไทยในช่วงครึ่งปีหลัง และแนะให้ผู้ประกอบการกระจายตลาดเพื่อลดความเสี่ยง,economy,negative
ราคาค่าโดยสารสาธารณะคงเดิมอีกหนึ่งปี,หน่วยงานกำกับดูแลประกาศคงอัตราค่าโดยสารรถสาธารณะไว้เท่าเดิมอีกหนึ่งปี เพื่อบรรเทาภาระค่าเดินทางของประชาชน โดยจะทบทวนอีกครั้งเมื่อครบกำหนด,economy,positive
ผู้ประกอบการปรับตัวรับต้นทุนแรงงานที่สูงขึ้น,ผู้ประกอบการในภาคบริการเริ่มนำระบบอัตโนมัติมาช่วยลดภาระต้นทุนแรงงานที่ปรับสูงขึ้น พร้อมอบรมพนักงานให้ทำงานหลายทักษะเพื่อเพิ่มประสิทธิภาพ,economy,neutral
ยอดขายรถยนต์ในประเทศลดลงต่อเนื่อง,ยอดขายรถยนต์ในประเทศลดลงต่อเนื่องจากความเข้มงวดในการอนุมัติสินเชื่อและกำลังซื้อที่ยังไม่ฟื้น ค่ายรถหลายรายจัดแคมเปญกระตุ้นยอดขายในช่วงปลายปี,economy,negative
เศรษฐกิจฐานรากได้ประโยชน์จากโครงการชุมชน,โครงการส่งเสริมเศรษฐกิจฐานรากช่วยให้กลุ่มวิสาหกิจชุมชนมีรายได้เพิ่มขึ้น จากการพัฒนาสินค้าและช่องทางขายออนไลน์ หลายกลุ่มขยายกำลังผลิตได้เป็นครั้งแรก,economy,positive
อัตราผลตอบแทนพันธบัตรระยะยาวปรับขึ้น,อัตราผลตอบแทนพันธบัตรรัฐบาลระยะยาวปรับขึ้นตามทิศทางตลาดโลก นักวิเคราะห์ระบุว่าจะส่งผลต่อต้นทุนการระดมทุนของภาครัฐและเอกชนในระยะถัดไป,economy,neutral
ค่าเงินบาทแข็งค่าขึ้นหลังเงินทุนไหลกลับ,ค่าเงินบาทแข็งค่าขึ้นหลังมีเงินทุนต่างชาติไหลกลับเข้าตลาดทุนไทย ผู้ส่งออกแสดงความกังวลเรื่องความสามารถในการแข่งขันด้านราคา,economy,neutral
เปิดเผยตัวเลขความเหลื่อมล้ำด้านรายได้ลดลงเล็กน้อย,รายงานภาวะสังคมระบุว่าความเหลื่อมล้ำด้านรายได้ปรับลดลงเล็กน้อย จากมาตรการช่วยเหลือกลุ่มเปราะบางและการจ้างงานที่ดีขึ้นในภาคบริการ,economy,positive
ธุรกิจโลจิสติกส์ขยายตัวตามการค้าออนไลน์,ผู้ให้บริการโลจิสติกส์รายงานปริมาณการจัดส่งพัสดุเพิ่มขึ้นตามการเติบโตของการค้าออนไลน์ หลายรายลงทุนศูนย์กระจายสินค้าใหม่เพื่อรองรับความต้องการ,economy,positive
ภาวะเศรษฐกิจครึ่งปีหลังยังมีความไม่แน่นอนสูง,สถาบันวิจัยเศรษฐกิจประเมินว่าภาวะเศรษฐกิจในครึ่งปีหลังยังมีความไม่แน่นอนสูง จากปัจจัยต่างประเทศและกำลังซื้อในประเทศที่ฟื้นตัวไม่ทั่วถึง,economy,negative
บริษัทไทยเปิดตัวระบบเอไอสำหรับวิเคราะห์ข้อมูลธุรกิจ,บริษัทเทคโนโลยีไทยเปิดตัวระบบปัญญาประดิษฐ์สำหรับวิเคราะห์ข้อมูลธุรกิจขนาดกลาง โดยรองรับภาษาไทยได้อย่างสมบูรณ์ ผู้ใช้งานรุ่นทดลองระบุว่าช่วยลดเวลาทำรายงานได้มาก,technology,positive
เปิดตัวสมาร์ทโฟนรุ่นใหม่ เน้นกล้องและแบตเตอรี่,ผู้ผลิตสมาร์ทโฟนเปิดตัวรุ่นใหม่ในไทย จุดขายหลักคือระบบกล้องที่ปรับปรุงและแบตเตอรี่ที่ใช้งานได้นานขึ้น ราคาเริ่มต้นใกล้เคียงกับรุ่นก่อนหน้า,technology,neutral
นักวิจัยไทยพัฒนาโมเดลภาษาไทยแบบเปิด,คณะนักวิจัยจากสถาบันการศึกษาเผยแพร่โมเดลภาษาไทยแบบโอเพนซอร์ส ให้นักพัฒนานำไปใช้ได้ฟรี ซึ่งช่วยลดข้อจำกัดด้านทรัพยากรของนักพัฒนารายเล็ก,technology,positive
พบช่องโหว่ความปลอดภัยในซอฟต์แวร์ยอดนิยม,ทีมวิจัยความปลอดภัยเปิดเผยช่องโหว่ในซอฟต์แวร์ที่มีผู้ใช้จำนวนมาก ซึ่งอาจทำให้ผู้ไม่หวังดีเข้าถึงข้อมูลได้ ผู้พัฒนาออกแพตช์แก้ไขและแนะนำให้อัปเดตทันที,technology,negative
ระบบคลาวด์ล่ม กระทบผู้ใช้งานหลายพันราย,ผู้ให้บริการคลาวด์รายใหญ่ประสบปัญหาระบบขัดข้องเป็นเวลาหลายชั่วโมง ทำให้เว็บไซต์และแอปพลิเคชันของลูกค้าหลายพันรายใช้งานไม่ได้ บริษัทแจ้งสาเหตุและแผนป้องกัน,technology,negative
เปิดใช้เครือข่าย 5G ครอบคลุมพื้นที่ห่างไกล,ผู้ให้บริการโทรคมนาคมขยายเครือข่าย 5G ไปยังพื้นที่ห่างไกลเพิ่มเติม ทำให้ประชาชนเข้าถึงอินเทอร์เน็ตความเร็วสูงได้มากขึ้น โรงเรียนในพื้นที่ได้ประโยชน์ด้านการเรียนออนไลน์,technology,positive
เตือนภัยแอปพลิเคชันปลอมดูดข้อมูลผู้ใช้,หน่วยงานด้านไซเบอร์เตือนประชาชนระวังแอปพลิเคชันปลอมที่ขอสิทธิ์เข้าถึงข้อมูลเกินความจำเป็น ซึ่งอาจนำไปสู่การสูญเสียข้อมูลส่วนตัวและเงินในบัญชี,technology,negative
สตาร์ทอัพไทยพัฒนาหุ่นยนต์ช่วยงานคลังสินค้า,สตาร์ทอัพสัญชาติไทยพัฒนาหุ่นยนต์ลำเลียงสินค้าในคลัง โดยใช้ระบบนำทางอัตโนมัติ ลูกค้าอุตสาหกรรมระบุว่าช่วยลดเวลาหยิบสินค้าได้กว่าร้อยละ 30,technology,positive
หน่วยงานรัฐเปิดใช้ระบบยืนยันตัวตนดิจิทัล,หน่วยงานรัฐเริ่มใช้ระบบยืนยันตัวตนดิจิทัลสำหรับบริการออนไลน์ ทำให้ประชาชนไม่ต้องเดินทางไปยื่นเอกสารที่สำนักงาน ลดเวลาและค่าใช้จ่ายอย่างชัดเจน,technology,positive
ปัญหาข้อมูลรั่วไหลจากการตั้งค่าระบบผิดพลาด,ผู้เชี่ยวชาญพบว่าข้อมูลของผู้ใช้งานบางส่วนเข้าถึงได้จากภายนอกเนื่องจากการตั้งค่าระบบผิดพลาด เจ้าของระบบแก้ไขแล้วและแจ้งผู้ได้รับผลกระทบตามกฎหมาย,technology,negative
ราคาชิปประมวลผลปรับลดลงหลังกำลังผลิตเพิ่ม,ราคาชิปประมวลผลในตลาดโลกปรับลดลงหลังผู้ผลิตเพิ่มกำลังการผลิต ส่งผลดีต่อผู้ผลิตอุปกรณ์อิเล็กทรอนิกส์ที่มีต้นทุนลดลงในรอบหลายไตรมาส,technology,positive
ทดสอบระบบขับขี่อัตโนมัติในพื้นที่ปิด,หน่วยงานร่วมกับเอกชนทดสอบระบบขับขี่อัตโนมัติในพื้นที่ปิดเพื่อเก็บข้อมูลความปลอดภัย ก่อนพิจารณาขยายการทดสอบบนถนนจริงในอนาคต,technology,neutral
แพลตฟอร์มโซเชียลปรับอัลกอริทึมแสดงเนื้อหา,แพลตฟอร์มโซเชียลมีเดียประกาศปรับอัลกอริทึมการแสดงเนื้อหาใหม่ โดยระบุว่าจะลดการแสดงเนื้อหาที่ทำให้เข้าใจผิด ผู้สร้างเนื้อหาบางส่วนกังวลเรื่องการเข้าถึงผู้ชม,technology,neutral
เปิดตัวบริการแปลภาษาไทยด้วยเอไอที่แม่นยำขึ้น,ผู้ให้บริการเทคโนโลยีเปิดตัวระบบแปลภาษาไทยรุ่นใหม่ที่ใช้โมเดลขนาดใหญ่ ผลทดสอบพบว่าความแม่นยำในบริบทเฉพาะทางดีขึ้นชัดเจนกว่ารุ่นก่อน,technology,positive
ผู้ใช้ร้องเรียนอัปเดตใหม่ทำให้เครื่องช้าลง,ผู้ใช้งานจำนวนมากร้องเรียนว่าการอัปเดตระบบปฏิบัติการรุ่นล่าสุดทำให้อุปกรณ์ทำงานช้าลงและแบตเตอรี่หมดเร็ว ผู้พัฒนารับทราบและเตรียมออกอัปเดตแก้ไข,technology,negative
โรงพยาบาลนำเอไอช่วยอ่านภาพเอกซเรย์,โรงพยาบาลนำระบบปัญญาประดิษฐ์มาช่วยคัดกรองภาพเอกซเรย์ปอด ช่วยให้แพทย์จัดลำดับผู้ป่วยที่ต้องดูแลก่อนได้เร็วขึ้น โดยยังมีแพทย์เป็นผู้ตัดสินใจสุดท้าย,technology,positive
ค่าบริการอินเทอร์เน็ตบ้านปรับลดลงจากการแข่งขัน,การแข่งขันในตลาดอินเทอร์เน็ตบ้านทำให้ผู้ให้บริการปรับลดค่าบริการและเพิ่มความเร็วในแพ็กเกจเดิม ผู้บริโภคได้ประโยชน์จากตัวเลือกที่มากขึ้น,technology,positive
ระบบชำระเงินขัดข้องช่วงเทศกาล,ระบบชำระเงินออนไลน์ของผู้ให้บริการรายหนึ่งขัดข้องในช่วงเทศกาลที่มีธุรกรรมหนาแน่น ทำให้ร้านค้าและผู้ใช้ไม่สามารถทำรายการได้ชั่วคราว บริษัทออกมาขออภัย,technology,negative
เปิดสอนหลักสูตรวิทยาการข้อมูลออนไลน์ฟรี,หน่วยงานร่วมกับมหาวิทยาลัยเปิดหลักสูตรวิทยาการข้อมูลออนไลน์แบบไม่มีค่าใช้จ่าย มีผู้ลงทะเบียนเกินเป้าหมายในสัปดาห์แรก สะท้อนความต้องการทักษะด้านนี้,technology,positive
ถกเถียงเรื่องการใช้เอไอสร้างงานศิลปะ,วงการสร้างสรรค์ถกเถียงถึงขอบเขตการใช้ปัญญาประดิษฐ์สร้างผลงานศิลปะ ทั้งประเด็นลิขสิทธิ์และการให้เครดิต หน่วยงานที่เกี่ยวข้องเริ่มศึกษาแนวทางกำกับดูแล,technology,neutral
โดรนช่วยสำรวจพื้นที่เกษตรแม่นยำขึ้น,เกษตรกรเริ่มใช้โดรนสำรวจแปลงเพาะปลูกเพื่อประเมินสุขภาพพืชและวางแผนให้ปุ๋ยอย่างแม่นยำ ช่วยลดต้นทุนและเพิ่มผลผลิตในแปลงทดลอง,technology,positive
เตือนการใช้รหัสผ่านซ้ำเสี่ยงถูกเจาะบัญชี,ผู้เชี่ยวชาญด้านความปลอดภัยเตือนว่าการใช้รหัสผ่านเดียวกันหลายบริการทำให้เสี่ยงถูกเจาะบัญชีต่อเนื่อง แนะให้เปิดการยืนยันตัวตนสองขั้นตอนทุกบริการสำคัญ,technology,negative
อุปกรณ์สวมใส่ช่วยติดตามสุขภาพผู้สูงอายุ,ผู้พัฒนาเปิดตัวอุปกรณ์สวมใส่ที่ติดตามอัตราการเต้นหัวใจและการล้มของผู้สูงอายุ พร้อมแจ้งเตือนญาติทันที ครอบครัวผู้ใช้งานระบุว่าช่วยให้คลายความกังวล,technology,positive
ผู้ให้บริการปรับปรุงระบบหลังถูกโจมตีทางไซเบอร์,ผู้ให้บริการดิจิทัลรายหนึ่งเสริมความแข็งแรงของระบบหลังถูกโจมตีทางไซเบอร์ โดยยืนยันว่าข้อมูลผู้ใช้ไม่ได้รับความเสียหาย และเพิ่มการตรวจสอบอย่างต่อเนื่อง,technology,neutral
เปิดศูนย์ข้อมูลใหม่รองรับความต้องการคลาวด์,บริษัทเทคโนโลยีเปิดศูนย์ข้อมูลแห่งใหม่ในประเทศไทย รองรับความต้องการบริการคลาวด์ที่เติบโต และช่วยให้ข้อมูลของลูกค้าจัดเก็บภายในประเทศได้,technology,positive
ระบบจดจำใบหน้าถูกตั้งคำถามเรื่องความเป็นส่วนตัว,การนำระบบจดจำใบหน้ามาใช้ในพื้นที่สาธารณะถูกตั้งคำถามเรื่องความเป็นส่วนตัว องค์กรภาคประชาสังคมเรียกร้องให้กำหนดกรอบการใช้งานและระยะเวลาเก็บข้อมูลที่ชัดเจน,technology,negative
อัปเดตซอฟต์แวร์ปิดช่องโหว่ร้ายแรงสำเร็จ,ผู้พัฒนาปล่อยอัปเดตปิดช่องโหว่ร้ายแรงได้สำเร็จภายใน 48 ชั่วโมงหลังได้รับรายงาน ผู้เชี่ยวชาญชื่นชมความรวดเร็วในการแก้ไขและการสื่อสารที่โปร่งใส,technology,positive
ทดลองใช้บล็อกเชนตรวจสอบย้อนกลับสินค้าเกษตร,โครงการนำร่องใช้เทคโนโลยีบล็อกเชนบันทึกที่มาของสินค้าเกษตร ทำให้ผู้บริโภคตรวจสอบย้อนกลับได้ถึงแปลงปลูก ผู้ส่งออกมองว่าช่วยเพิ่มความน่าเชื่อถือ,technology,positive
ค่าใช้จ่ายด้านไอทีขององค์กรเพิ่มขึ้น,ผลสำรวจองค์กรในไทยพบว่างบประมาณด้านเทคโนโลยีสารสนเทศเพิ่มขึ้น โดยส่วนใหญ่ลงทุนด้านความปลอดภัยและระบบวิเคราะห์ข้อมูลเป็นลำดับแรก,technology,neutral
เปิดตัวรถยนต์ไฟฟ้ารุ่นประกอบในประเทศ,ค่ายรถเปิดตัวรถยนต์ไฟฟ้ารุ่นที่ประกอบในประเทศไทยเป็นครั้งแรก ทำให้ราคาจำหน่ายต่ำลงและช่วยสร้างงานในห่วงโซ่การผลิตชิ้นส่วนภายในประเทศ,technology,positive
ผู้ใช้กังวลการเก็บข้อมูลของผู้ช่วยเสียง,ผู้ใช้งานแสดงความกังวลว่าอุปกรณ์ผู้ช่วยเสียงอาจบันทึกเสียงในบ้านโดยไม่ได้ตั้งใจ ผู้ผลิตชี้แจงกลไกการทำงานและเพิ่มปุ่มปิดไมโครโฟนทางกายภาพ,technology,negative
พัฒนาแอปแจ้งเตือนภัยพิบัติแบบเรียลไทม์,หน่วยงานพัฒนาแอปพลิเคชันแจ้งเตือนภัยพิบัติที่ส่งข้อมูลตามพิกัดผู้ใช้แบบเรียลไทม์ ทดสอบในพื้นที่เสี่ยงพบว่าช่วยให้ประชาชนเตรียมตัวได้ทันเวลา,technology,positive
ระบบไอทีของหน่วยงานล้าสมัย ต้องเร่งปรับปรุง,รายงานตรวจสอบพบว่าระบบเทคโนโลยีสารสนเทศของหน่วยงานหลายแห่งล้าสมัยและเสี่ยงต่อความปลอดภัย จึงเสนอให้จัดสรรงบประมาณปรับปรุงเป็นการเร่งด่วน,technology,negative
นักเรียนไทยคว้ารางวัลแข่งขันเขียนโปรแกรม,ทีมนักเรียนไทยคว้ารางวัลจากการแข่งขันเขียนโปรแกรมระดับภูมิภาค โดยพัฒนาระบบช่วยจัดการขยะในชุมชน คณะกรรมการชื่นชมการนำเทคโนโลยีมาแก้ปัญหาจริง,technology,positive
